name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Amaranth seed black,,IFCT2017,100,146.4,1.0,2.78,14.59,5.74,,,IFCT2017_Complete_OCR
pause CAG TO aru erat 6 9204040 13272034 305030 5560383 7474009 58040171674021 6 146060 1489410,,IFCT2017,100,500.7,6.0,6.0,50.3,1.46,,,IFCT2017_Complete_OCR
Quinoa,,IFCT2017,100,132.6,1.0,2.65,13.11,5.5,,,IFCT2017_Complete_OCR
Wheat flour atta,,IFCT2017,100,33.1,6.0,1.634064,0.29,,,,IFCT2017_Complete_OCR
Wheat bulgur,,IFCT2017,100,68.3,6.0,6.0,2.252038,,,,IFCT2017_Complete_OCR
Black gram whole,,IFCT2017,100,68.7,6.0,0.07,4.94,,,,IFCT2017_Complete_OCR
Cowpea white,,IFCT2017,100,206.6,1.0,2.83,21.25,1.14,,,IFCT2017_Complete_OCR
id bean black,,IFCT2017,100,43.46,1.0,,19.93,0.92,,,IFCT2017_Complete_OCR
Field bean brown,,IFCT2017,100,45.24,1.0,,19.9,0.98,,,IFCT2017_Complete_OCR
Horse gram whole,,IFCT2017,100,33.6,6.0,1.0,0.624004,,,,IFCT2017_Complete_OCR
Lentil whole yellowish,,IFCT2017,100,222.6,2.0,2.2,22.87,0.61,,,IFCT2017_Complete_OCR
Moth bean,,IFCT2017,100,53.0,6.0,0.18,3.14,,,,IFCT2017_Complete_OCR
- Rajmah black,,IFCT2017,100,192.5,2.0,3.35,19.01,1.62,,,IFCT2017_Complete_OCR
Ricebean,,IFCT2017,100,197.9,1.0,3.54,19.97,0.74,,,IFCT2017_Complete_OCR
Soybean white,,IFCT2017,100,362.3,1.0,4.52,37.8,19.42,,,IFCT2017_Complete_OCR
Agathi leaves,,IFCT2017,100,85.8,1.0,2.42,8.01,1.35,,,IFCT2017_Complete_OCR
Amaranth leaves red,,IFCT2017,100,140.0,1.0,,3.93,0.63,,,IFCT2017_Complete_OCR
Basella leaves,,IFCT2017,100,29.2,2.0,1.09,1.87,0.45,,,IFCT2017_Complete_OCR
- Bathua leaves,,IFCT2017,100,116.0,2.0,,2.5,0.44,,,IFCT2017_Complete_OCR
eresetage ore brassicae cle racea eer 1 8439 426 147 050 429 335 094 509 185,,IFCT2017,100,48.2,1.0,1.47,4.26,0.5,,,IFCT2017_Complete_OCR
Cabbage Chinese,,IFCT2017,100,21.1,1.0,0.73,1.58,0.13,,,IFCT2017_Complete_OCR
Drumstick leaves,,IFCT2017,100,68.4,3.0,1.44,5.628,,,,IFCT2017_Complete_OCR
Garden cress,,IFCT2017,100,68.5,2.0,2.48,5.62,0.8,,,IFCT2017_Complete_OCR
Gogu leaves red,,IFCT2017,100,24.5,1.0,0.97,1.85,1.07,,,IFCT2017_Complete_OCR
Ee ee eerie eee va 2 8620 342 442 035 276 181 095 616 178,,IFCT2017,100,56.5,2.0,4.42,3.42,0.35,,,IFCT2017_Complete_OCR
Pak Choi leaves,,IFCT2017,100,67.0,1.0,1.1,,0.25,,,IFCT2017_Complete_OCR
Radish leaves,,IFCT2017,100,38.6,8.0,1.18,0.21,0.04,,,IFCT2017_Complete_OCR
Rumex leaves,,IFCT2017,100,27.7,2.0,1.27,1.62,0.33,,,IFCT2017_Complete_OCR
Bamboo shoot tender,,IFCT2017,100,18.2,1.0,0.55,1.33,0.35,,,IFCT2017_Complete_OCR
- Brinjal-1,,IFCT2017,100,114.0,1.0,,89.95,0.83,,,IFCT2017_Complete_OCR
- Brinjal-2,,IFCT2017,100,827.8,2.0,1.82,90.28,0.85,,,IFCT2017_Complete_OCR
- Brinjal-3,,IFCT2017,100,827.7,3.0,1.38,90.02,0.65,,,IFCT2017_Complete_OCR
- Brinjal-4,,IFCT2017,100,833.4,4.0,1.21,90.28,0.66,,,IFCT2017_Complete_OCR
Brinjal-5,,IFCT2017,100,242.01,5.0,,1.0,0.724012,,,IFCT2017_Complete_OCR
- Brinjal-6,,IFCT2017,100,845.0,6.0,1.46,90.57,0.72,,,IFCT2017_Complete_OCR
- -Brinjal-7,,IFCT2017,100,854.9,7.0,1.4,91.25,0.57,,,IFCT2017_Complete_OCR
- Brinjal-9,,IFCT2017,100,850.4,9.0,1.47,89.83,0.83,,,IFCT2017_Complete_OCR
- -Brinjal-10,,IFCT2017,100,851.1,10.0,1.68,89.38,0.72,,,IFCT2017_Complete_OCR
- Brinjal-11,,IFCT2017,100,170.28,11.0,,89.0,0.68,,,IFCT2017_Complete_OCR
Brinjal-12,,IFCT2017,100,872.9,12.0,1.6,90.94,0.58,,,IFCT2017_Complete_OCR
- -Brinjal-13,,IFCT2017,100,860.2,13.0,1.49,89.14,0.64,,,IFCT2017_Complete_OCR
- -Brinjal-14,,IFCT2017,100,70.8,14.0,0.19,1.56,0.64,,,IFCT2017_Complete_OCR
- Brinjal-16,,IFCT2017,100,882.5,16.0,1.26,90.39,0.8,,,IFCT2017_Complete_OCR
- -Brinjal-17,,IFCT2017,100,890.2,17.0,1.18,90.83,0.81,,,IFCT2017_Complete_OCR
- -Brinjal-19,,IFCT2017,100,87.6,19.0,0.06,1.26,0.66,,,IFCT2017_Complete_OCR
Brinjal-20,,IFCT2017,100,90.2,20.0,1.0,0.684008,,,,IFCT2017_Complete_OCR
- Brinjal-21,,IFCT2017,100,897.9,21.0,1.36,89.83,0.69,,,IFCT2017_Complete_OCR
Brinjal - all varieties,,IFCT2017,100,38.0,6.0,1.48,0.9,0.22,,,IFCT2017_Complete_OCR
Capsicum green,,IFCT2017,100,29.9,6.0,0.76,0.32,0.05,,,IFCT2017_Complete_OCR
Capsicum red,,IFCT2017,100,20.4,4.0,1.0,0.05,,,,IFCT2017_Complete_OCR
- Celery stalk,,IFCT2017,100,17.2,3.0,1.0,0.13,50.0,,,IFCT2017_Complete_OCR
Cho-cho-marrow,,IFCT2017,100,17.2,4.0,0.15,0.07,0.03,,,IFCT2017_Complete_OCR
Colocasia stem black,,IFCT2017,100,14.5,1.0,0.91,0.76,0.34,,,IFCT2017_Complete_OCR
Colocasia stem green,,IFCT2017,100,21.2,5.0,0.22,0.04,0.02,,,IFCT2017_Complete_OCR
Corn baby,,IFCT2017,100,73.4,6.0,11.66,0.31,1.4,,,IFCT2017_Complete_OCR
Cucumber green short,,IFCT2017,100,31.3,6.0,0.83,0.44,0.14,,,IFCT2017_Complete_OCR
Cucumber orange round,,IFCT2017,100,18.9,2.0,0.52,0.98,0.24,,,IFCT2017_Complete_OCR
-- Drumstick,,IFCT2017,100,46.5,6.0,5.6,0.01,0.26,,,IFCT2017_Complete_OCR
Field beans tender broad,,IFCT2017,100,39.5,2.0,0.94,3.08,0.64,,,IFCT2017_Complete_OCR
- - Field beans tender lean,,IFCT2017,100,27.5,6.0,0.82,0.02,0.1,,,IFCT2017_Complete_OCR
-s French beans country,,IFCT2017,100,213.2,5.0,1.05,21.0,0.09,,,IFCT2017_Complete_OCR
Jack fruit raw,,IFCT2017,100,35.7,5.0,1.98,0.86,0.16,,,IFCT2017_Complete_OCR
Kovai big,,IFCT2017,100,31.8,6.0,0.58,0.61,0.07,,,IFCT2017_Complete_OCR
Pumpkin green cylindrical,,IFCT2017,100,13.7,1.0,0.47,0.87,0.18,,,IFCT2017_Complete_OCR
Red gram tender fresh,,IFCT2017,100,83.4,1.0,1.64,8.09,0.92,,,IFCT2017_Complete_OCR
Snake gourd short,,IFCT2017,100,10.6,1.0,0.44,0.54,0.26,,,IFCT2017_Complete_OCR
Tomato ripe local,,IFCT2017,100,834.3,6.0,0.07,90.0,0.524008,,,IFCT2017_Complete_OCR
Zucchini green,,IFCT2017,100,21.6,2.0,0.93,1.1,0.51,,,IFCT2017_Complete_OCR
Zucchini yellow,,IFCT2017,100,79.0,2.0,1.08,,0.44,,,IFCT2017_Complete_OCR
Apple small Kashmir,,IFCT2017,100,7.6,1.0,0.29,0.27,0.6,,,IFCT2017_Complete_OCR
Apricot dried,,IFCT2017,100,43.2,6.0,3.462014,0.59,,,,IFCT2017_Complete_OCR
Avocado fruit,,IFCT2017,100,35.3,1.0,1.19,2.95,13.86,,,IFCT2017_Complete_OCR
Banana ripe poovam,,IFCT2017,100,25.8,2.0,1.09,1.49,0.35,,,IFCT2017_Complete_OCR
Banana ripe red,,IFCT2017,100,19.4,1.0,0.95,1.29,0.29,,,IFCT2017_Complete_OCR
Currants black,,IFCT2017,100,227.0,1.0,0.69,,0.53,,,IFCT2017_Complete_OCR
Custard apple,,IFCT2017,100,21.3,1.0,0.68,1.62,0.67,,,IFCT2017_Complete_OCR
Dates dry dark brown,,IFCT2017,100,39.0,2.0,2.39,2.38,0.35,,,IFCT2017_Complete_OCR
Gooseberry,,IFCT2017,100,23.3,5.0,0.05,0.34,0.16,,,IFCT2017_Complete_OCR
Jambu fruit ripe,,IFCT2017,100,16.6,2.0,0.31,0.82,0.17,,,IFCT2017_Complete_OCR
- Litchi,,IFCT2017,100,22.4,4.0,0.99,0.27,0.09,,,IFCT2017_Complete_OCR
Mango ripe neelam,,IFCT2017,100,15.6,2.0,0.38,0.68,0.55,,,IFCT2017_Complete_OCR
- Mango ripe paheri,,IFCT2017,100,15.8,2.0,0.42,0.68,0.58,,,IFCT2017_Complete_OCR
- Mango ripe totapari,,IFCT2017,100,561.0,1.0,47.0,41.0,0.49,,,IFCT2017_Complete_OCR
Mangosteen,,IFCT2017,100,11.0,1.0,0.33,0.63,0.24,,,IFCT2017_Complete_OCR
Manila tamarind,,IFCT2017,100,47.3,1.0,2.82,3.56,,,,IFCT2017_Complete_OCR
Orange pulp,,IFCT2017,100,26.4,6.0,0.56,0.02,0.02,,,IFCT2017_Complete_OCR
Peach,,IFCT2017,100,13.8,1.0,0.51,0.86,0.37,,,IFCT2017_Complete_OCR
Pear,,IFCT2017,100,28.3,6.0,0.03,0.46,,,,IFCT2017_Complete_OCR
Phalsa,,IFCT2017,100,27.3,2.0,1.09,1.66,0.14,,,IFCT2017_Complete_OCR
Raisins dried golden,,IFCT2017,100,35.1,6.0,1.0,0.79,,,,IFCT2017_Complete_OCR
Rambutan,,IFCT2017,100,11.8,1.0,0.43,0.68,0.16,,,IFCT2017_Complete_OCR
Soursop,,IFCT2017,100,13.0,1.0,0.58,0.74,0.94,,,IFCT2017_Complete_OCR
Star fruit,,IFCT2017,100,12.4,1.0,0.33,0.79,0.39,,,IFCT2017_Complete_OCR
Strawberry,,IFCT2017,100,27.1,6.0,0.56,0.1,0.02,,,IFCT2017_Complete_OCR
Zizyphus,,IFCT2017,100,19.3,1.0,0.8,1.34,0.35,,,IFCT2017_Complete_OCR
Carrot orange,,IFCT2017,100,32.8,6.0,0.95,0.56,0.15,,,IFCT2017_Complete_OCR
Carrot red,,IFCT2017,100,29.2,4.0,3.09,0.09,0.26,,,IFCT2017_Complete_OCR
Colocasia,,IFCT2017,100,95.9,6.0,17.85,0.05,0.94,,,IFCT2017_Complete_OCR
Potato brown skin small,,IFCT2017,100,19.6,1.0,0.87,1.35,0.22,,,IFCT2017_Complete_OCR
Potato red skin,,IFCT2017,100,25.0,1.0,1.13,1.83,0.22,,,IFCT2017_Complete_OCR
Radish round red skin,,IFCT2017,100,15.7,1.0,0.91,0.89,0.16,,,IFCT2017_Complete_OCR
Radish round white skin,,IFCT2017,100,18.4,2.0,0.8,0.8,0.14,,,IFCT2017_Complete_OCR
Sweet potato pink skin,,IFCT2017,100,27.9,3.0,3.94401,0.01,,,,IFCT2017_Complete_OCR
Tapioca,,IFCT2017,100,19.0,3.0,0.05,0.76,,,,IFCT2017_Complete_OCR
Yam wild,,IFCT2017,100,42.7,2.0,1.76,3.07,0.3,,,IFCT2017_Complete_OCR
Chillies green-3,,IFCT2017,100,53.8,3.0,5.1,2.38204,0.1,,,IFCT2017_Complete_OCR
Chillies green-6,,IFCT2017,100,800.4,6.0,3.01,84.93,0.96,,,IFCT2017_Complete_OCR
Chillies green-7,,IFCT2017,100,163.0,7.0,,85.83,0.9,,,IFCT2017_Complete_OCR
